step,loss,loss/mean,loss/std,lr,momentum,r2squared
55,0.0964244706556201,0.0964244706556201,0.002028920735111953,0.0005644996082651017,0.9,0.8956191539764404
56,0.09596275476117927,0.09596275476117927,0.002169026066642078,0.000546134179731651,0.9,0.8960943222045898
57,0.09601743364085753,0.09601743364085753,0.0024148955320594844,0.000527705737457985,0.9,0.8960869312286377
58,0.09582916088402271,0.09582916088402271,0.0014631101725950354,0.000509239452479565,0.9,0.89626544713974
59,0.09586911710600056,0.09586911710600056,0.001711787037764989,0.0004907605475204352,0.9,0.8962123394012451
60,0.0957202964151899,0.0957202964151899,0.0019060538477298382,0.00047229426254201504,0.9,0.8963833451271057
61,0.09547922201454642,0.09547922201454642,0.0020979307614064717,0.00045386582026834903,0.9,0.8966135382652283
62,0.09532980838169654,0.09532980838169654,0.0015464698018012014,0.0004355003917348985,0.9,0.8968069553375244
63,0.09546557596574227,0.09546557596574227,0.00223897588785469,0.000417223061907935,0.9,0.8966689705848694
64,0.09524784175058205,0.09524784175058205,0.002076315493329037,0.000399058795421495,0.9,0.8969099521636963
65,0.09540890529751776,0.09540890529751776,0.0013195690376230382,0.00038103240247869074,0.9,0.8967132568359375
66,0.09502187464386225,0.09502187464386225,0.002064186554790439,0.0003631685049639586,0.9,0.8971438407897949
67,0.094852639362216,0.094852639362216,0.0015535125733958568,0.00034549150281252633,0.9,0.8973240852355957
68,0.09490015202512342,0.09490015202512342,0.0019025590482407162,0.0003280255406830359,0.9,0.897253692150116
69,0.09489624202251433,0.09489624202251433,0.0025461328151667123,0.00031079447497884486,0.9,0.8972717523574829
70,0.09484509937465191,0.09484509937465191,0.001964675284075344,0.00029382184126304836,0.9,0.897311806678772
71,0.09462290133039157,0.09462290133039157,0.0019252064573322797,0.0002771308221117309,0.9,0.897570013999939
72,0.09463757121314605,0.09463757121314605,0.0017696067626664755,0.0002607442154493568,0.9,0.8975545763969421
73,0.09454492852091789,0.09454492852091789,0.0018013867373684056,0.0002446844034095466,0.9,0.897645890712738
74,0.09474042057991028,0.09474042057991028,0.0017740092740540845,0.00022897332176377528,0.9,0.897432804107666
